time,Clostridium,gnavus,bacteroidetes
1,438,13,53
2,890,6,21
3,7680,8,33
4,8974,5,51
5,1260,14,57
6,3267,5,87
7,19449,9,32
8,1451,9,51
9,148,3,203
10,188,3,131
11,167,12,2927
12,977,10,705
13,1459,18,425
14,1467,7,130
15,10849,2916,134
16,648,851,5935
17,1448,194,502
18,6970,3679,2062
19,139,46,167
20,16456,4409,48
21,1113,6640,63
22,539,3219,5591
23,3989,4222,130
24,542,2758,183
25,6,415,143
26,41,6318,33
27,91,155,33
28,6092,623,24
29,268,1060,524
30,36,8054,9663
31,4033,925,16725
32,2,10561,22565
33,33,3504,43217
34,4,13614,93585
35,10,11319,69751
36,6,3124,121096
37,4,23422,42027
38,3,2011,77686
39,1,16088,77458
40,8,9432,23805
41,71,317,5830
42,2,1414,5754
43,4,569,517
44,14,10928,61278
45,2,4642,7546
46,5,10206,38580
47,4,10339,38655
48,4,10686,27656
49,1,6568,110189
50,3,11600,75690